"","policy_id","province_region","response_level_cln","flag_sub_variation","date_announce_cln","date_start_cln","date_end_cln"
"62","X51","Qinghai","Level IV",FALSE,2020-03-05,2020-03-06,2020-07-31
"63","P30","Shandong","Level I",FALSE,2020-01-25,2020-01-25,2020-03-07
"64","P31","Shandong","Level II",FALSE,2020-03-07,2020-03-08,2020-05-05
"65","P32","Shandong","Level III",FALSE,2020-05-05,2020-05-06,2020-07-31
"66","P24","Shanghai","Level I",FALSE,2020-01-24,2020-01-24,2020-03-23
"67","P25","Shanghai","Level II",FALSE,2020-03-23,2020-03-24,2020-05-08
"68","P26","Shanghai","Level III",FALSE,2020-05-08,2020-05-09,2020-07-31
"69","P10","Shanxi","Level I",FALSE,2020-01-25,2020-01-25,2020-02-23
"70","P11","Shanxi","Level II",FALSE,2020-02-23,2020-02-24,2020-03-09
"71","P12","Shanxi","Level III",FALSE,2020-03-10,2020-03-10,2020-07-31
"72","P21","Sichuan","Level I",FALSE,2020-01-24,2020-01-24,2020-02-24
"73","P22","Sichuan","Level II",FALSE,2020-02-25,2020-02-25,2020-03-23
"74","P23","Sichuan","Level III",FALSE,2020-03-24,2020-03-24,2020-07-31
"75","X23","Tianjin","Level I",FALSE,2020-01-25,2020-01-25,2020-04-29
"76","X24","Tianjin","Level II",FALSE,2020-04-29,2020-04-30,2020-06-05
"77","X25","Tianjin","Level III",FALSE,2020-06-05,2020-06-06,2020-07-31
"78","X45","Xinjiang","Level I",FALSE,2020-01-25,2020-01-25,2020-02-25
"79","X46","Xinjiang","Level II",FALSE,2020-02-26,2020-02-26,2020-03-06
"80","X47","Xinjiang","Level III",FALSE,2020-03-07,2020-03-07,2020-03-21
"81","X48","Xinjiang","Level IV",FALSE,2020-03-21,2020-03-22,2020-07-31
"82","P40","Xizang","Level I",FALSE,2020-01-30,2020-01-30,2020-03-05
"83","P41","Xizang","Level II",TRUE,2020-03-06,2020-03-06,2020-07-31
"84","P35","Yunnan","Level I",FALSE,2020-01-24,2020-01-24,2020-02-23
"85","P36","Yunnan","Level III",FALSE,2020-02-23,2020-02-24,2020-07-31
"86","X31","Zhengjiang","Level I",FALSE,2020-01-23,2020-01-23,2020-03-01
"87","X32","Zhengjiang","Level II",FALSE,2020-03-02,2020-03-02,2020-03-22
"88","X33","Zhengjiang","Level III",FALSE,2020-03-23,2020-03-23,2020-07-31
