,countryname,countrycode,date_start,date_end,stay_home,stay_home_flag,announce,start,end,enforce,group,country_label,all_requ,gen_requ,tar_requ,all_reco,date_start_gen_req_min,check1,first_order,national_required,update_date,update_policy,update_scope,subcountry_first,recommendation_first
394,Panama,PAN,3/17/2020,3/31/2020,1_recommended,1_general,3/24/2020,3/25/2020,5/12/2020,mandatory,treatment,t_PAN,TRUE,TRUE,FALSE,TRUE,4/1/2020,FALSE,FALSE,update,3/25/2020,2_required_exceptions,,FALSE,FALSE
395,Panama,PAN,4/1/2020,5/31/2020,2_required_exceptions,1_general,3/24/2020,3/25/2020,5/12/2020,mandatory,treatment,t_PAN,TRUE,TRUE,FALSE,TRUE,4/1/2020,FALSE,FALSE,TRUE,,,,FALSE,FALSE
415,Poland,POL,3/31/2020,4/8/2020,2_required_exceptions,1_general,3/24/2020,3/24/2020,4/18/2020,mandatory,treatment,t_POL,TRUE,TRUE,FALSE,TRUE,3/31/2020,FALSE,FALSE,update,3/24/2020,2_required_exceptions,,FALSE,FALSE
533,Turkmenistan,TKM,1/1/2020,5/31/2020,0_no_measures,missing,NA,NA,NA,NA,NA,na_TKM,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,,,,,,
534,Turks and Caicos Islands,TCA,1/1/2020,3/25/2020,0_no_measures,missing,NA,NA,NA,NA,NA,na_TCA,TRUE,TRUE,FALSE,FALSE,3/26/2020,NA,NA,,,,,,
416,Poland,POL,4/9/2020,5/29/2020,1_recommended,1_general,3/24/2020,3/24/2020,4/18/2020,mandatory,treatment,t_POL,TRUE,TRUE,FALSE,TRUE,3/31/2020,FALSE,FALSE,TRUE,,,,FALSE,FALSE
536,Uganda,UGA,1/1/2020,3/29/2020,0_no_measures,missing,,NA,,,control,c_UGA,TRUE,TRUE,FALSE,TRUE,3/30/2020,NA,NA,,,,,,
419,Portugal,PRT,3/19/2020,5/3/2020,2_required_exceptions,1_general,3/19/2020,3/19/2020,5/2/2020,mandatory,treatment,t_PRT,TRUE,TRUE,FALSE,TRUE,3/19/2020,TRUE,TRUE,TRUE,,,,FALSE,FALSE
420,Portugal,PRT,5/4/2020,5/31/2020,1_recommended,1_general,3/19/2020,3/19/2020,5/2/2020,mandatory,treatment,t_PRT,TRUE,TRUE,FALSE,TRUE,3/19/2020,TRUE,TRUE,TRUE,,,,FALSE,FALSE
539,Ukraine,UKR,1/1/2020,3/15/2020,0_no_measures,missing,,NA,,,control,c_UKR,TRUE,TRUE,FALSE,TRUE,4/3/2020,NA,NA,,,,,,
426,Romania,ROU,3/12/2020,3/24/2020,1_recommended,1_general,3/25/2020,3/25/2020,5/15/2020,mandatory,treatment,t_ROU,TRUE,TRUE,FALSE,TRUE,3/25/2020,TRUE,TRUE,TRUE,,,,FALSE,TRUE
427,Romania,ROU,3/25/2020,5/14/2020,2_required_exceptions,1_general,3/25/2020,3/25/2020,5/15/2020,mandatory,treatment,t_ROU,TRUE,TRUE,FALSE,TRUE,3/25/2020,TRUE,TRUE,TRUE,,,,FALSE,TRUE
542,United Arab Emirates,ARE,1/1/2020,3/12/2020,0_no_measures,missing,3/26/2020,3/26/2020,3/29/2020,mandatory,treatment,t_ARE,TRUE,TRUE,TRUE,TRUE,3/23/2020,FALSE,FALSE,,,,,,
428,Romania,ROU,5/15/2020,5/31/2020,1_recommended,1_general,3/25/2020,3/25/2020,5/15/2020,mandatory,treatment,t_ROU,TRUE,TRUE,FALSE,TRUE,3/25/2020,TRUE,TRUE,TRUE,,,,FALSE,TRUE
430,Russia,RUS,3/5/2020,3/18/2020,2_required_exceptions,0_targeted,3/29/2020,3/30/2020,5/11/2020,voluntary,treatment,t_RUS,TRUE,TRUE,TRUE,FALSE,3/19/2020,FALSE,FALSE,update,3/30/2020,1_recommended,1_general,TRUE,TRUE
431,Russia,RUS,3/19/2020,3/29/2020,2_required_exceptions,1_general,3/29/2020,3/30/2020,5/11/2020,voluntary,treatment,t_RUS,TRUE,TRUE,TRUE,FALSE,3/19/2020,FALSE,FALSE,update,3/30/2020,1_recommended,,TRUE,TRUE
546,United Arab Emirates,ARE,5/18/2020,5/31/2020,0_no_measures,missing,3/26/2020,3/26/2020,3/29/2020,mandatory,treatment,t_ARE,TRUE,TRUE,TRUE,TRUE,3/23/2020,FALSE,FALSE,,,,,,
547,United Kingdom,GBR,1/1/2020,3/22/2020,0_no_measures,missing,3/23/2020,3/23/2020,5/9/2020,mandatory,treatment,t_GBR,TRUE,TRUE,FALSE,TRUE,3/23/2020,TRUE,TRUE,,,,,,
432,Russia,RUS,3/30/2020,5/31/2020,3_required,0_targeted,3/29/2020,3/30/2020,5/11/2020,voluntary,treatment,t_RUS,TRUE,TRUE,TRUE,FALSE,3/19/2020,FALSE,FALSE,TRUE,,,,TRUE,TRUE
434,Rwanda,RWA,3/21/2020,5/3/2020,2_required_exceptions,1_general,3/21/2020,3/21/2020,4/30/2020,mandatory,treatment,t_RWA,TRUE,TRUE,FALSE,TRUE,3/21/2020,TRUE,TRUE,TRUE,,,,FALSE,FALSE
550,United States,USA,1/1/2020,3/14/2020,0_no_measures,missing,NA,NA,NA,NA,NA,na_USA,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,,,,,,
435,Rwanda,RWA,5/4/2020,5/31/2020,1_recommended,1_general,3/21/2020,3/21/2020,4/30/2020,mandatory,treatment,t_RWA,TRUE,TRUE,FALSE,TRUE,3/21/2020,TRUE,TRUE,TRUE,,,,FALSE,FALSE
