province,city_level,place_cln,date_start,date_end,sah_standard,flag_any_policy_overlap,flag_shutdown_policy_overlap,flag_date_overlap
Shaanxi,district,"Huyi, Xi'an",2020-02-03,2020-02-09,partial shutdown,FALSE,FALSE,FALSE
Shaanxi,district,"Lianhu, Xi'an",2020-02-05,NA,partial shutdown,FALSE,FALSE,FALSE
Shaanxi,prefecture,Xianyang,2020-02-06,NA,partial shutdown,FALSE,FALSE,FALSE
Shaanxi,district,"Xincheng, Xi'an",2020-02-04,NA,partial shutdown,FALSE,FALSE,FALSE
Shaanxi,district,"Yanta, Xi'an",2020-02-05,NA,partial shutdown,FALSE,FALSE,FALSE
Shaanxi,district,"Zhouzhi, Xi'an",2020-02-02,NA,partial shutdown,FALSE,FALSE,FALSE
Shandong,district,"Bincheng, Binzhou",2020-02-03,2020-02-09,partial shutdown,FALSE,FALSE,FALSE
Shandong,prefecture,Jinan,2020-02-05,NA,closed management,FALSE,FALSE,FALSE
Shandong,prefecture,Linyi,2020-02-04,NA,closed management,FALSE,FALSE,FALSE
Shandong,prefecture,Qingdao,2020-02-05,NA,closed management,FALSE,FALSE,FALSE
Shandong,prefecture,Rizhao,2020-02-05,NA,closed management,FALSE,FALSE,FALSE
Shandong,prefecture,Tai'an,2020-02-05,NA,closed management,FALSE,FALSE,FALSE
Shandong,prefecture,Taian,2020-02-05,NA,closed management,FALSE,FALSE,FALSE
Shanghai,province,NA,2020-02-10,NA,closed management,FALSE,FALSE,FALSE
Sichuan,prefecture,Chengdu,2020-02-07,NA,closed management,FALSE,FALSE,FALSE
Sichuan,prefecture,Deyang,2020-02-09,NA,closed management,FALSE,FALSE,FALSE
Sichuan,prefecture,Garzê,2020-02-05,NA,partial shutdown,FALSE,FALSE,FALSE
Sichuan,prefecture,Guangyuan,2020-02-07,NA,closed management,FALSE,FALSE,FALSE
Sichuan,prefecture,Mianyang,2020-02-09,NA,closed management,FALSE,FALSE,FALSE
Sichuan,prefecture,Neijiang,2020-02-06,NA,closed management,FALSE,FALSE,FALSE
Sichuan,prefecture,Ngawa,2020-02-05,NA,partial shutdown,FALSE,FALSE,FALSE
Sichuan,prefecture,Suining,2020-02-07,NA,closed management,FALSE,FALSE,FALSE
Sichuan,prefecture,Yaan,2020-02-06,NA,closed management,FALSE,FALSE,FALSE
Sichuan,prefecture,Ziyang,2020-02-08,NA,closed management,FALSE,FALSE,FALSE
Tianjin,district,"Baodi, Tianjin",2020-02-09,NA,partial shutdown,FALSE,FALSE,FALSE
Tianjin,prefecture,Tianjin,2020-02-07,NA,closed management,FALSE,FALSE,NA
Tianjin,province,NA,2020-02-07,NA,closed management,FALSE,FALSE,FALSE
Yunnan,prefecture,Kunming,2020-02-05,NA,closed management,FALSE,FALSE,FALSE
Zhejiang,prefecture,Hangzhou,2020-02-04,NA,closed management,TRUE,FALSE,NA
Zhejiang,prefecture,Hangzhou,2020-02-04,NA,partial shutdown,FALSE,FALSE,FALSE
Zhejiang,prefecture,Ningbo,2020-02-04,NA,closed management,TRUE,FALSE,NA
Zhejiang,prefecture,Ningbo,2020-02-04,NA,partial shutdown,FALSE,FALSE,NA
Zhejiang,prefecture,Ningbo,2020-02-05,NA,partial shutdown,FALSE,FALSE,FALSE
Zhejiang,prefecture,Taizhou,2020-02-03,NA,partial shutdown,FALSE,FALSE,FALSE
Zhejiang,prefecture,Wenling,2020-02-02,NA,partial shutdown,FALSE,FALSE,FALSE
Zhejiang,prefecture,Wenzhou,2020-02-02,NA,closed management,TRUE,FALSE,NA
Zhejiang,prefecture,Wenzhou,2020-02-02,NA,partial shutdown,FALSE,FALSE,NA
Zhejiang,prefecture,Wenzhou,2020-02-02,2020-02-08,partial shutdown,NA,NA,NA
