,countryname,countrycode,date_start,date_end,stay_home,stay_home_flag,national_required,update_date,update_policy,update_scope,subcountry_first,recommendation_first
276,Kazakhstan,KAZ,5/11/2020,5/31/2020,2_required_exceptions,0_targeted,TRUE,,,,TRUE,FALSE
278,Kenya,KEN,3/27/2020,4/5/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
279,Kenya,KEN,4/6/2020,5/3/2020,3_required,0_targeted,TRUE,,,,FALSE,FALSE
280,Kenya,KEN,5/4/2020,5/31/2020,3_required,1_general,TRUE,,,,FALSE,FALSE
277,Kenya,KEN,1/1/2020,3/26/2020,0_no_measures,missing,,,,,,
281,Kosovo,RKS,1/1/2020,3/12/2020,0_no_measures,missing,NA,,,,,
282,Kosovo,RKS,3/13/2020,3/23/2020,2_required_exceptions,0_targeted,NA,,,,,
283,Kosovo,RKS,3/24/2020,5/31/2020,2_required_exceptions,1_general,NA,,,,,
284,Kuwait,KWT,1/1/2020,3/21/2020,0_no_measures,missing,,,,,,
285,Kuwait,KWT,3/22/2020,4/5/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
286,Kuwait,KWT,4/6/2020,4/20/2020,3_required,0_targeted,TRUE,,,,FALSE,FALSE
287,Kuwait,KWT,4/21/2020,5/9/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
288,Kuwait,KWT,5/10/2020,5/30/2020,3_required,1_general,TRUE,,,,FALSE,FALSE
289,Kuwait,KWT,5/31/2020,5/31/2020,3_required,0_targeted,TRUE,,,,FALSE,FALSE
291,Kyrgyz Republic,KGZ,3/14/2020,3/24/2020,1_recommended,1_general,FALSE,,,,TRUE,TRUE
292,Kyrgyz Republic,KGZ,3/25/2020,5/10/2020,3_required,0_targeted,FALSE,,,,TRUE,TRUE
293,Kyrgyz Republic,KGZ,5/11/2020,5/31/2020,2_required_exceptions,0_targeted,FALSE,,,,TRUE,TRUE
290,Kyrgyz Republic,KGZ,1/1/2020,3/13/2020,0_no_measures,missing,,,,,,
294,Laos,LAO,1/1/2020,3/29/2020,0_no_measures,missing,,,,,,
296,Laos,LAO,5/4/2020,5/31/2020,0_no_measures,missing,,,,,,
295,Laos,LAO,3/30/2020,5/3/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
298,Latvia,LVA,3/13/2020,5/31/2020,1_recommended,1_general,NA,,,,,
297,Latvia,LVA,1/1/2020,3/12/2020,0_no_measures,missing,NA,,,,,
299,Lebanon,LBN,1/1/2020,3/15/2020,0_no_measures,missing,,,,,,
300,Lebanon,LBN,3/16/2020,3/17/2020,1_recommended,1_general,update,3/16/2020,3_required,1_general,FALSE,FALSE
301,Lebanon,LBN,3/18/2020,5/2/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
302,Lebanon,LBN,5/3/2020,5/12/2020,1_recommended,1_general,TRUE,,,,FALSE,FALSE
303,Lebanon,LBN,5/13/2020,5/17/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
304,Lebanon,LBN,5/18/2020,5/31/2020,1_recommended,1_general,TRUE,,,,FALSE,FALSE
305,Lesotho,LSO,1/1/2020,3/17/2020,0_no_measures,missing,,,,,,
306,Lesotho,LSO,3/18/2020,5/5/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
307,Lesotho,LSO,5/6/2020,5/31/2020,1_recommended,1_general,TRUE,,,,FALSE,FALSE
309,Liberia,LBR,3/21/2020,4/7/2020,2_required_exceptions,0_targeted,TRUE,,,,TRUE,FALSE
310,Liberia,LBR,4/8/2020,5/31/2020,2_required_exceptions,1_general,TRUE,,,,TRUE,FALSE
308,Liberia,LBR,1/1/2020,3/20/2020,0_no_measures,missing,,,,,,
312,Libya,LBY,3/22/2020,3/23/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
313,Libya,LBY,3/24/2020,4/7/2020,3_required,0_targeted,update,3/22/2020,2_required_exceptions,1_general,FALSE,FALSE
314,Libya,LBY,4/8/2020,4/16/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
315,Libya,LBY,4/17/2020,5/27/2020,3_required,1_general,TRUE,,,,FALSE,FALSE
316,Libya,LBY,5/28/2020,5/31/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
311,Libya,LBY,1/1/2020,3/21/2020,0_no_measures,missing,,,,,,
317,Lithuania,LTU,1/1/2020,3/15/2020,0_no_measures,missing,,,,,,
318,Lithuania,LTU,3/16/2020,5/31/2020,1_recommended,1_general,FALSE,,,,FALSE,TRUE
