"","countryname","countrycode","stay_home","stay_home_flag","date_start","date_end"
"552","Uruguay","URY","0_no_measures","missing",2020-01-01,2020-03-12
"553","Uruguay","URY","1_recommended","1_general",2020-03-13,2020-04-01
"554","Uruguay","URY","2_required_exceptions","1_general",2020-04-02,2020-04-12
"555","Uruguay","URY","1_recommended","1_general",2020-04-13,2020-05-31
"556","Uzbekistan","UZB","0_no_measures","missing",2020-01-01,2020-03-26
"557","Uzbekistan","UZB","2_required_exceptions","1_general",2020-03-27,2020-05-07
"558","Uzbekistan","UZB","2_required_exceptions","0_targeted",2020-05-08,2020-05-31
"559","Vanuatu","VUT","0_no_measures","missing",2020-01-01,2020-03-25
"560","Vanuatu","VUT","1_recommended","1_general",2020-03-26,2020-05-31
"561","Venezuela","VEN","0_no_measures","missing",2020-01-01,2020-03-12
"562","Venezuela","VEN","2_required_exceptions","1_general",2020-03-13,2020-05-31
"563","Vietnam","VNM","0_no_measures","missing",2020-01-01,2020-03-31
"564","Vietnam","VNM","2_required_exceptions","1_general",2020-04-01,2020-04-14
"565","Vietnam","VNM","2_required_exceptions","0_targeted",2020-04-15,2020-04-21
"566","Vietnam","VNM","0_no_measures","missing",2020-04-22,2020-05-31
"567","Yemen","YEM","0_no_measures","missing",2020-01-01,2020-04-30
"568","Yemen","YEM","2_required_exceptions","0_targeted",2020-05-01,2020-05-04
"569","Yemen","YEM","1_recommended","1_general",2020-05-05,2020-05-27
"570","Yemen","YEM","2_required_exceptions","0_targeted",2020-05-28,2020-05-31
"571","Zambia","ZMB","0_no_measures","missing",2020-01-01,2020-04-08
"572","Zambia","ZMB","1_recommended","1_general",2020-04-09,2020-04-14
"573","Zambia","ZMB","2_required_exceptions","0_targeted",2020-04-15,2020-05-07
"574","Zambia","ZMB","0_no_measures","missing",2020-05-08,2020-05-31
"575","Zimbabwe","ZWE","0_no_measures","missing",2020-01-01,2020-03-22
"576","Zimbabwe","ZWE","1_recommended","1_general",2020-03-23,2020-03-29
"577","Zimbabwe","ZWE","2_required_exceptions","1_general",2020-03-30,2020-05-31
