province,city_level,place,place_cln,date_start,date_end,sah_standard,et_manual
Jiangsu,prefecture,Xuzhou,Xuzhou,2020-02-04,2020-02-08,partial shutdown,TRUE
Jiangsu,prefecture,Yangzhou,Yangzhou,2020-02-05,NA,closed management,TRUE
Jiangsu,prefecture,Zhenjiang,Zhenjiang,2020-02-04,NA,closed management,TRUE
Jiangxi,prefecture,Jingdezhen,Jingdezhen,2020-02-04,NA,closed management,TRUE
Jiangxi,prefecture,Jingdezhen,Jingdezhen,2020-02-04,2020-03-31,partial shutdown,TRUE
Jiangxi,prefecture,Nanchang,Nanchang,2020-02-05,NA,closed management,TRUE
Jiangxi,province,NA,NA,2020-02-06,2020-03-31,partial shutdown,TRUE
Jiangxi,province,NA,NA,2020-02-06,NA,closed management,TRUE
Jilin,prefecture,Jilin,Jilin,2020-02-06,NA,closed management,TRUE
Jilin,district,"Kuancheng, Changchun","Kuancheng, Changchun",2020-02-06,NA,partial shutdown,TRUE
Liaoning,prefecture,Benxi,Benxi,2020-02-05,NA,partial shutdown,TRUE
Liaoning,prefecture,Jinzhou,Jinzhou,2020-02-06,NA,partial shutdown,TRUE
Liaoning,province,NA,NA,2020-02-06,NA,closed management,TRUE
Nei Mongol,prefecture,Alashan,Alashan,2020-02-12,NA,closed management,TRUE
Nei Mongol,prefecture,Baotou,Baotou,2020-02-12,NA,closed management,TRUE
Nei Mongol,prefecture,Bayannaoer,Bayannaoer,2020-02-12,NA,closed management,TRUE
Nei Mongol,prefecture,Chifeng,Chifeng,2020-02-12,NA,closed management,TRUE
Nei Mongol,prefecture,Ereduosi,Ereduosi,2020-02-12,NA,closed management,TRUE
Nei Mongol,prefecture,Huhehaote,Huhehaote,2020-02-12,NA,closed management,TRUE
Nei Mongol,prefecture,Hulunbeier,Hulunbeier,2020-02-12,NA,closed management,TRUE
Nei Mongol,prefecture,Tongliao,Tongliao,2020-02-12,NA,closed management,TRUE
Nei Mongol,prefecture,Wuhai,Wuhai,2020-02-12,NA,closed management,TRUE
Nei Mongol,prefecture,Wulanchabu,Wulanchabu,2020-02-12,NA,closed management,TRUE
Nei Mongol,prefecture,Xilinguole,Xilinguole,2020-02-12,NA,closed management,TRUE
Nei Mongol,prefecture,Xingan,Xingan,2020-02-12,NA,closed management,TRUE
Nei Mongol,province,NA,NA,2020-02-12,NA,closed management,TRUE
Ningxia Hui,prefecture,Wuzhong,Wuzhong,2020-01-31,NA,closed management,TRUE
Ningxia Hui,prefecture,Yinchuan,Yinchuan,2020-01-31,NA,closed management,TRUE
Shaanxi,district,"Chang'an, Xi'an","Chang'an, Xi'an",2020-02-04,NA,partial shutdown,TRUE
Shaanxi,prefecture,Hanzhong,Hanzhong,2020-02-09,NA,closed management,TRUE
Shaanxi,district,"Huyi, Xi'an","Huyi, Xi'an",2020-02-03,2020-02-09,partial shutdown,TRUE
Shaanxi,district,"Lianhu, Xi'an","Lianhu, Xi'an",2020-02-05,NA,partial shutdown,TRUE
Shaanxi,prefecture,Xianyang,Xianyang,2020-02-06,NA,partial shutdown,TRUE
Shaanxi,district,"Xincheng, Xi'an","Xincheng, Xi'an",2020-02-04,NA,partial shutdown,TRUE
Shaanxi,district,"Yanta, Xi'an","Yanta, Xi'an",2020-02-05,NA,partial shutdown,TRUE
Shaanxi,district,"Zhouzhi, Xi'an","Zhouzhi, Xi'an",2020-02-02,NA,partial shutdown,TRUE
Shandong,district,"Bincheng, Binzhou","Bincheng, Binzhou",2020-02-03,2020-02-09,partial shutdown,TRUE
Shandong,prefecture,Jinan,Jinan,2020-02-05,NA,closed management,TRUE
Shandong,prefecture,Linyi,Linyi,2020-02-04,NA,closed management,TRUE
Shandong,prefecture,Qingdao,Qingdao,2020-02-05,NA,closed management,TRUE
Shandong,prefecture,Rizhao,Rizhao,2020-02-05,NA,closed management,TRUE
Shandong,prefecture,Tai'an,Tai'an,2020-02-05,NA,closed management,TRUE
Shandong,prefecture,Taian,Taian,2020-02-05,NA,closed management,TRUE
Shanghai,province,NA,NA,2020-02-10,NA,closed management,TRUE
Sichuan,prefecture,Chengdu,Chengdu,2020-02-07,NA,closed management,TRUE
Sichuan,prefecture,Deyang,Deyang,2020-02-09,NA,closed management,TRUE
Sichuan,prefecture,Garzê,Garzê,2020-02-05,NA,partial shutdown,TRUE
Sichuan,prefecture,Guangyuan,Guangyuan,2020-02-07,NA,closed management,TRUE
Sichuan,prefecture,Mianyang,Mianyang,2020-02-09,NA,closed management,TRUE
Sichuan,prefecture,Neijiang,Neijiang,2020-02-06,NA,closed management,TRUE
Sichuan,prefecture,Ngawa,Ngawa,2020-02-05,NA,partial shutdown,TRUE
Sichuan,prefecture,Suining,Suining,2020-02-07,NA,closed management,TRUE
Sichuan,prefecture,Ya'an,Yaan,2020-02-06,NA,closed management,TRUE
Sichuan,prefecture,Yaan,Yaan,2020-02-06,NA,closed management,TRUE
Sichuan,prefecture,Ziyang,Ziyang,2020-02-08,NA,closed management,TRUE
Tianjin,district,"Baodi, Tianjin","Baodi, Tianjin",2020-02-09,NA,partial shutdown,TRUE
Tianjin,prefecture,Tianjin,Tianjin,2020-02-07,NA,closed management,TRUE
Tianjin,province,NA,NA,2020-02-07,NA,closed management,TRUE
Yunnan,prefecture,Kunming,Kunming,2020-02-05,NA,closed management,TRUE
Zhejiang,prefecture,Hangzhou,Hangzhou,2020-02-04,NA,partial shutdown,TRUE
Zhejiang,prefecture,Hangzhou,Hangzhou,2020-02-04,NA,closed management,TRUE
Zhejiang,prefecture,Ningbo,Ningbo,2020-02-04,NA,partial shutdown,TRUE
Zhejiang,prefecture,Ningbo,Ningbo,2020-02-05,NA,partial shutdown,TRUE
Zhejiang,prefecture,Ningbo,Ningbo,2020-02-04,NA,closed management,TRUE
Zhejiang,prefecture,Taizhou,Taizhou,2020-02-03,NA,partial shutdown,TRUE
Zhejiang,prefecture,Wenling,Wenling,2020-02-02,NA,partial shutdown,TRUE
Zhejiang,prefecture,Wenzhou,Wenzhou,2020-02-02,NA,partial shutdown,TRUE
Zhejiang,prefecture,Wenzhou,Wenzhou,2020-02-02,2020-02-08,partial shutdown,TRUE
Zhejiang,prefecture,Wenzhou,Wenzhou,2020-02-02,NA,closed management,TRUE
